polygon_id,meadow_id,s2rep,ndvi,ndwi,savi,evi,msi,ndmi,mndwi,observer_estimated_GPI,soil_moisture,soil_resistance,vegetation_height,plant_richness_mean
143023_01,143023,719.30078125,0.7533847689628601,-0.6935705542564392,0.5753774642944336,0.6579459309577942,0.6539080142974854,0.2101387083530426,-0.5661520957946777,mid_high,21.66666667,35.5,7.44,2
143023_02,143023,718.63470458984375,0.6806569695472717,-0.6441767811775208,0.49120089411735535,0.5487666130065918,0.8063271045684814,0.10990322381258011,-0.5756215453147888,mid_high,24.58888889,27.33333333,4.793333333,1.6666666666666667
143016_01,143016,718.81317138671875,0.733284056186676,-0.6738981008529663,0.5341023802757263,0.6044094562530518,0.74663907289505,0.14901407063007355,-0.5832028388977051,mid_high,32.48888889,20.2,5.473333333,1.6666666666666667
143016_02,143016,719.49151611328125,0.7791829705238342,-0.7027296423912048,0.6034865975379944,0.7021709084510803,0.6175500750541687,0.2367769330739975,-0.5589962005615234,mid_high,20.17777778,27.2,6.18,3
143016_03,143016,720.19561767578125,0.8066149950027466,-0.7224028706550598,0.6230344772338867,0.7284167408943176,0.5516868233680725,0.29183852672576904,-0.5448019504547119,mid_high,21.05555556,26.13333333,6.426666667,2.3333333333333335
116032_01,116032,726.00335693359375,0.9339778423309326,-0.8451585173606873,0.7739958763122559,0.9297505021095276,0.29434746503829956,0.5456533432006836,-0.5575488805770874,intensive,18.61111111,25.2,22.79333333,3
116032_02,116032,725.6904296875,0.9281636476516724,-0.8378791213035583,0.7664174437522888,0.9190855026245117,0.3014439344406128,0.5377179384231567,-0.5495542883872986,intensive,19.72222222,27.33333333,23.8,3
25006_01,25006,716.18359375,0.7554845213890076,-0.6770130395889282,0.5806519389152527,0.6638250350952148,0.5972705483436584,0.2534937262535095,-0.5116796493530273,extensive,54.15555556,13.93333333,6.326666667,6
25006_02,25006,715.71295166015625,0.7070400714874268,-0.6468456983566284,0.5376564264297485,0.6055053472518921,0.6730377078056335,0.19596092402935028,-0.5164369344711304,extensive,56.22222222,8.133333333,7.16,4.333333333333333
162027_01,162027,723.46893310546875,0.8270091414451599,-0.736960768699646,0.6157949566841125,0.7495248913764954,0.49751347303390503,0.34156370162963867,-0.5336684584617615,mid_high,26.92222222,24,9.88,1
162027_02,162027,723.59063720703125,0.8913561105728149,-0.7995272278785706,0.7006639838218689,0.831689715385437,0.4107339382171631,0.41844767332077026,-0.5748934149742126,mid_high,15.54444444,42.6,11.29333333,3
130005_01,130005,726.217041015625,0.9232370257377625,-0.8374719023704529,0.7412950396537781,0.884949803352356,0.3125801682472229,0.5258926153182983,-0.5625569224357605,intensive,19.80833333,33.85,22.625,1.75
162028_01,162028,723.4937744140625,0.8861870169639587,-0.7863069772720337,0.7033447027206421,0.8597325682640076,0.4129751920700073,0.41577017307281494,-0.5509588718414307,mid_high,18.56666667,44.93333333,9.233333333,4.333333333333333
162028_02,162028,720.35369873046875,0.8433582782745361,-0.7476909756660461,0.6361246109008789,0.7393845915794373,0.4502502381801605,0.3793950378894806,-0.514340877532959,mid_low,25.1,27,14.15333333,4.333333333333333
129014_01,129014,715.0322265625,0.6911502480506897,-0.6285001635551453,0.4628530740737915,0.511709988117218,0.653836727142334,0.21072158217430115,-0.4809378981590271,extensive,67.05555556,8.133333333,9.74,4
129014_02,129014,716.24957275390625,0.7444693446159363,-0.6597775816917419,0.5419475436210632,0.6236613392829895,0.60208892822265625,0.24946443736553192,-0.490571528673172,extensive,71.5,6.866666667,5.886666667,5
129088_02,129088,717.6103515625,0.7955141067504883,-0.6945457458496094,0.6163472533226013,0.7272019982337952,0.5489199757575989,0.2921568751335144,-0.504891037940979,extensive,30.68888889,11.5,3.58,5
129088_01,129088,714.06695556640625,0.6728830933570862,-0.5965876579284668,0.4067474901676178,0.449068546295166,0.6069408655166626,0.2561786472797394,-0.398180216550827,extensive,84.42222222,6.333333333,6.44,1.6666666666666667
575023_01,575023,716.2452392578125,0.6704214215278625,-0.6198508143424988,0.45797985792160034,0.5055758357048035,0.6168607473373413,0.24131572246551514,-0.4452335238456726,extensive,70.81111111,10.33333333,7.293333333,3.6666666666666665
575023_02,575023,716.631103515625,0.6831523180007935,-0.6300206184387207,0.5087710022926331,0.5766940712928772,0.584353506565094,0.2641454041004181,-0.43840399384498596,extensive,62.76666667,13.66666667,4.58,4.666666666666667
