polygon_id,meadow_id,s2rep,ndvi,ndwi,savi,evi,msi,ndmi,mndwi,observer_estimated_class,soil_moisture,soil_resistance,vegetation_height,plant_richness_mean
143023_01,143023,720.7550048828125,0.76189786195755,-0.7062931656837463,0.5828484892845154,0.6736575961112976,0.626577615737915,0.24200168251991272,-0.5793861746788025,moderate,21.66666667,35.5,7.44,2
143023_02,143023,720.513916015625,0.6801044940948486,-0.6454868316650391,0.4623467028141022,0.51419597864151,0.7200167775154114,0.10596677660942078,-0.5948594212532043,moderate,24.58888889,27.33333333,4.793333333,1.6666666666666667
143016_01,143016,720.37188720703125,0.7188896536827087,-0.6718454360961914,0.5100558400154114,0.5721551775932312,0.6745112538337708,0.12735515832901,-0.6150148510932922,moderate,32.48888889,20.2,5.473333333,1.6666666666666667
143016_02,143016,721.0916748046875,0.7853548526763916,-0.715726375579834,0.6157204508781433,0.7202810645103455,0.5735689401626587,0.27937597036361694,-0.5661959052085876,moderate,20.17777778,27.2,6.18,3
143016_03,143016,721.23687744140625,0.8257268667221069,-0.7395422458648682,0.6542320251464844,0.7749869227409363,0.5357574820518494,0.3114328682422638,-0.579147458076477,moderate,21.05555556,26.13333333,6.426666667,2.3333333333333335
116032_01,116032,726.690185546875,0.9424346685409546,-0.8521230220794678,0.7817403078079224,0.9596225619316101,0.30351823568344116,0.5520264506340027,-0.5696407556533813,low,18.61111111,25.2,22.79333333,3
116032_02,116032,726.4456787109375,0.9432017207145691,-0.8549619913101196,0.7818098664283752,0.9550843834877014,0.3023807406425476,0.5536061525344849,-0.5735822916030884,low,19.72222222,27.33333333,23.8,3
25006_01,25006,718.82611083984375,0.7772650122642517,-0.7000498175621033,0.6071827411651611,0.6974212527275085,0.5832738280296326,0.2832646071910858,-0.5087792873382568,high,54.15555556,13.93333333,6.326666667,6
25006_02,25006,718.5234375,0.7306867837905884,-0.673599362373352,0.5610769987106323,0.6340341567993164,0.6466366052627563,0.2219916731119156,-0.5178109407424927,high,56.22222222,8.133333333,7.16,4.333333333333333
162027_01,162027,724.8154296875,0.8116214871406555,-0.7517463564872742,0.5862576961517334,0.6835993528366089,0.4713568091392517,0.28884357213974,-0.5827019214630127,moderate,26.92222222,24,9.88,1
162027_02,162027,724.8856201171875,0.9062572121620178,-0.8217151761054993,0.7153645157814026,0.8499785661697388,0.41244152188301086,0.4436259865760803,-0.5951294302940369,moderate,15.54444444,42.6,11.29333333,3
130005_01,130005,726.38726806640625,0.9405975937843323,-0.8501752018928528,0.7636157870292664,0.924347996711731,0.3374814987182617,0.5314109921455383,-0.5792691707611084,low,19.80833333,33.85,22.625,1.75
162028_01,162028,724.60015869140625,0.895149290561676,-0.8095034956932068,0.7076914310455322,0.8410090208053589,0.42389512062072754,0.4248620271682739,-0.5712796449661255,moderate,18.56666667,44.93333333,9.233333333,4.333333333333333
162028_02,162028,722.10107421875,0.8544068932533264,-0.7612042427062988,0.6332215666770935,0.7305242419242859,0.4513707160949707,0.387367308139801,-0.523781955242157,high,25.1,27,14.15333333,4.333333333333333
129014_01,129014,717.76263427734375,0.703829288482666,-0.6516959071159363,0.4553644359111786,0.4882757067680359,0.6267870664596558,0.21579505503177643,-0.49406975507736206,high,67.05555556,8.133333333,9.74,4
