polygon_id,meadow_id,s2rep,ndvi,ndwi,savi,evi,msi,ndmi,mndwi,observer_estimated_class,soil_moisture,soil_resistance,vegetation_height,plant_richness_mean,soil_resistance_std,soil_moisture_std,plant_richness_std,vegetation_height_std,habitat_class_knn_all_field,habitat_class_rbc_soil_richness
143023_01,143023,720.7550048828125,0.76189786195755,-0.7062931656837463,0.5828484892845154,0.6736575961112976,0.626577615737915,0.24200168251991272,-0.5793861746788025,moderate,21.66666667,35.5,7.44,2,0.6207376478316866,0.12154104885731416,0.13636363636363635,0.18382104808656188,moderate,low
143023_02,143023,720.513916015625,0.6801044940948486,-0.6454868316650391,0.4623467028141022,0.51419597864151,0.7200167775154114,0.10596677660942078,-0.5948594212532043,moderate,24.58888889,27.33333333,4.793333333,1.6666666666666667,0.45024356287368,0.16174896810390615,0.09090909090909091,0.08812611483248879,moderate,low
143016_01,143016,720.37188720703125,0.7188896536827087,-0.6718454360961914,0.5100558400154114,0.5721551775932312,0.6745112538337708,0.12735515832901,-0.6150148510932922,moderate,32.48888889,20.2,5.473333333,1.6666666666666667,0.30132219899991725,0.27044794379237275,0.09090909090909091,0.11271272236570323,moderate,moderate
143016_02,143016,721.0916748046875,0.7853548526763916,-0.715726375579834,0.6157204508781433,0.7202810645103455,0.5735689401626587,0.27937597036361694,-0.5661959052085876,moderate,20.17777778,27.2,6.18,3,0.447459986047132,0.10105488464757513,0.2727272727272727,0.1382635105985469,moderate,low
143016_03,143016,721.23687744140625,0.8257268667221069,-0.7395422458648682,0.6542320251464844,0.7749869227409363,0.5357574820518494,0.3114328682422638,-0.579147458076477,moderate,21.05555556,26.13333333,6.426666667,2.3333333333333335,0.42519137080844316,0.11313254864353667,0.18181818181818182,0.14718218197068678,moderate,low
116032_01,116032,726.690185546875,0.9424346685409546,-0.8521230220794678,0.7817403078079224,0.95962256193161,0.30351823568344116,0.5520264506340027,-0.5696407556533813,low,18.61111111,25.2,22.79333333,3,0.4057063326050706,0.07949854765083324,0.2727272727272727,0.7389480788385177,low,low
116032_02,116032,726.4456787109375,0.9432017207145692,-0.8549619913101196,0.7818098664283752,0.9550843834877014,0.3023807406425476,0.5536061525344849,-0.5735822916030884,low,19.72222222,27.33333333,23.8,3,0.45024356287368,0.09478672987020983,0.2727272727272727,0.7753458999150734,low,low
25006_01,25006,718.82611083984375,0.7772650122642517,-0.7000498175621033,0.6071827411651611,0.6974212527275085,0.5832738280296326,0.2832646071910858,-0.5087792873382568,high,54.15555556,13.93333333,6.326666667,6,0.17049408481186887,0.5685674974142007,0.6818181818181818,0.14356650439227286,high,high
25006_02,25006,718.5234375,0.7306867837905884,-0.673599362373352,0.5610769987106323,0.6340341567993164,0.6466366052627563,0.2219916731119156,-0.5178109407424927,high,56.22222222,8.133333333,7.16,4.333333333333333,0.04940848989252138,0.597003516278948,0.4545454545454545,0.173697150867003,high,high
162027_01,162027,724.8154296875,0.8116214871406555,-0.7517463564872742,0.5862576961517334,0.6835993528366089,0.4713568091392517,0.28884357213974,-0.5827019214630127,moderate,26.92222222,24,9.88,1,0.3806541405398338,0.19385415075083764,0,0.27204358099986065,moderate,low
