polygon_id,meadow_id,s2rep,ndvi,ndwi,savi,evi,msi,ndmi,mndwi,observer_estimated_GPI,soil_moisture,soil_resistance,vegetation_height,plant_richness_mean,soil_resistance_std,soil_moisture_std,plant_richness_std,vegetation_height_std,gpi_class_knn_all_field,gpi_class_rbc_soil_richness
143023_01,143023,719.30078125,0.7533847689628601,-0.6935705542564392,0.5753774642944336,0.6579459309577942,0.6539080142974854,0.2101387083530426,-0.5661520957946777,mid,21.66666667,35.5,7.44,2,0.6207376478316866,0.12154104885731416,0.13636363636363635,0.18382104808656188,mid,intensive
143023_02,143023,718.63470458984375,0.6806569695472717,-0.6441767811775208,0.49120089411735535,0.5487666130065918,0.8063271045684814,0.10990322381258012,-0.5756215453147888,mid,24.58888889,27.33333333,4.793333333,1.6666666666666667,0.45024356287368,0.16174896810390615,0.09090909090909091,0.08812611483248879,mid,intensive
143016_01,143016,718.81317138671875,0.733284056186676,-0.6738981008529663,0.5341023802757263,0.6044094562530518,0.74663907289505,0.14901407063007355,-0.5832028388977051,mid,32.48888889,20.2,5.473333333,1.6666666666666667,0.30132219899991725,0.27044794379237275,0.09090909090909091,0.11271272236570323,mid,mid
143016_02,143016,719.49151611328125,0.7791829705238342,-0.7027296423912048,0.6034865975379944,0.7021709084510803,0.6175500750541687,0.2367769330739975,-0.5589962005615234,mid,20.17777778,27.2,6.18,3,0.447459986047132,0.10105488464757513,0.2727272727272727,0.1382635105985469,mid,intensive
143016_03,143016,720.19561767578125,0.8066149950027466,-0.7224028706550598,0.6230344772338867,0.7284167408943176,0.5516868233680725,0.29183852672576904,-0.5448019504547119,mid,21.05555556,26.13333333,6.426666667,2.3333333333333335,0.42519137080844316,0.11313254864353667,0.18181818181818182,0.14718218197068678,mid,intensive
116032_01,116032,726.00335693359375,0.9339778423309326,-0.8451585173606873,0.7739958763122559,0.9297505021095276,0.29434746503829956,0.5456533432006836,-0.5575488805770874,intensive,18.61111111,25.2,22.79333333,3,0.4057063326050706,0.07949854765083324,0.2727272727272727,0.7389480788385177,intensive,intensive
116032_02,116032,725.6904296875,0.9281636476516724,-0.8378791213035583,0.7664174437522888,0.9190855026245116,0.3014439344406128,0.5377179384231567,-0.5495542883872986,intensive,19.72222222,27.33333333,23.8,3,0.45024356287368,0.09478672987020983,0.2727272727272727,0.7753458999150734,intensive,intensive
25006_01,25006,716.18359375,0.7554845213890076,-0.6770130395889282,0.5806519389152527,0.6638250350952148,0.5972705483436584,0.2534937262535095,-0.5116796493530273,extensive,54.15555556,13.93333333,6.326666667,6,0.17049408481186887,0.5685674974142007,0.6818181818181818,0.14356650439227286,extensive,extensive
25006_02,25006,715.71295166015625,0.7070400714874268,-0.6468456983566284,0.5376564264297485,0.6055053472518921,0.6730377078056335,0.19596092402935028,-0.5164369344711304,extensive,56.22222222,8.133333333,7.16,4.333333333333333,0.04940848989252138,0.597003516278948,0.4545454545454545,0.173697150867003,extensive,extensive
162027_01,162027,723.46893310546875,0.8270091414451599,-0.736960768699646,0.6157949566841125,0.7495248913764954,0.49751347303390503,0.34156370162963867,-0.5336684584617615,mid,26.92222222,24,9.88,1,0.3806541405398338,0.19385415075083764,0,0.27204358099986065,mid,intensive
162027_02,162027,723.59063720703125,0.8913561105728149,-0.7995272278785706,0.7006639838218689,0.831689715385437,0.4107339382171631,0.41844767332077026,-0.5748934149742126,mid,15.54444444,42.6,11.29333333,3,0.7689631175510044,0.037303164637293884,0.2727272727272727,0.3231451573209209,mid,intensive
130005_01,130005,726.217041015625,0.9232370257377625,-0.8374719023704529,0.7412950396537781,0.884949803352356,0.3125801682472229,0.5258926153182983,-0.5625569224357605,intensive,19.80833333,33.85,22.625,1.75,0.586290883741986,0.09597156397810819,0.10227272727272727,0.73286168836871,intensive,intensive
162028_01,162028,723.4937744140625,0.8861870169639587,-0.7863069772720337,0.7033447027206421,0.8597325682640076,0.4129751920700073,0.41577017307281494,-0.5509588718414307,mid,18.56666667,44.93333333,9.233333333,4.333333333333333,0.81767571316382,0.07888702042259939,0.4545454545454545,0.24866219931406522,intensive,mid
162028_02,162028,720.35369873046875,0.8433582782745361,-0.7476909756660461,0.6361246109008789,0.7393845915794373,0.4502502381801605,0.3793950378894806,-0.514340877532959,extensive,25.1,27,14.15333333,4.333333333333333,0.44328462070292585,0.1687815319165638,0.4545454545454545,0.42655353606355806,mid,mid
129014_01,129014,715.0322265625,0.6911502480506897,-0.6285001635551453,0.4628530740737915,0.511709988117218,0.653836727142334,0.21072158217430115,-0.4809378981590271,extensive,67.05555556,8.133333333,9.74,4,0.04940848989252138,0.7460632931586588,0.40909090909090906,0.2669816323900812,extensive,extensive
129014_02,129014,716.24957275390625,0.7444693446159363,-0.6597775816917419,0.5419475436210632,0.6236613392829895,0.60208892822265625,0.24946443736553192,-0.490571528673172,extensive,71.5,6.866666667,5.886666667,5,0.022964509393133742,0.8072160220361652,0.5454545454545454,0.12765752304725178,extensive,extensive
129088_02,129088,717.6103515625,0.7955141067504883,-0.6945457458496094,0.6163472533226013,0.7272019982337952,0.5489199757575989,0.2921568751335144,-0.504891037940979,extensive,30.68888889,11.5,3.58,5,0.1196938065269503,0.24568108857221582,0.5454545454545454,0.044255893559785944,extensive,extensive
129088_01,129088,714.06695556640625,0.6728830933570862,-0.5965876579284668,0.4067474901676178,0.449068546295166,0.6069408655166626,0.2561786472797394,-0.398180216550827,extensive,84.42222222,6.333333333,6.44,1.6666666666666667,0.011830201794666161,0.9850175813947403,0.09090909090909091,0.14766427230242304,extensive,mid
575023_01,575023,716.2452392578125,0.6704214215278625,-0.6198508143424988,0.45797985792160034,0.5055758357048035,0.6168607473373413,0.2413157224655151,-0.4452335238456726,extensive,70.81111111,10.33333333,7.293333333,3.6666666666666665,0.09533750861615842,0.7977373490353848,0.3636363636363636,0.1785180542928359,extensive,mid
575023_02,575023,716.631103515625,0.6831523180007935,-0.6300206184387207,0.5087710022926331,0.5766940712928772,0.584353506565094,0.2641454041004181,-0.4384039938449859,extensive,62.76666667,13.66666667,4.58,4.666666666666667,0.16492693115877285,0.6870509097175646,0.5,0.08041266934392478,extensive,extensive
575019_01,575019,720.0972900390625,0.854378879070282,-0.7500384449958801,0.6612870097160339,0.7781404256820679,0.4855782389640808,0.34670719504356384,-0.5451204776763916,extensive,36.97777778,20.66666667,8.773333333,3.3333333333333335,0.3110647182059877,0.3322122000357066,0.3181818181818182,0.2320300824533614,extensive,mid
575019_02,575019,719.1143798828125,0.815731406211853,-0.7203865051269531,0.6213683485984802,0.7253313064575195,0.548016369342804,0.2930489182472229,-0.5414155125617981,extensive,41.32222222,19.33333333,6.226666667,4,0.2832289491054345,0.3919889925120933,0.40909090909090906,0.13995082681385898,extensive,extensive
79024_01,79024,716.60137939453125,0.741584300994873,-0.6623364686965942,0.5691466331481934,0.6624699831008911,0.5998311042785645,0.2515047788619995,-0.49274733662605286,extensive,31.44444444,13.73333333,3.966666667,5.333333333333333,0.16631871946766275,0.256077052415347,0.5909090909090908,0.058236513541705226,extensive,extensive
79024_02,79024,715.0806884765625,0.6971213221549988,-0.6369442343711853,0.5219026207923889,0.593558132648468,0.6556033492088318,0.208673894405365,-0.4939030408859253,extensive,68.51111111,8.666666667,3.653333333,6.333333333333333,0.06054279749098897,0.7660908118096288,0.7272727272727272,0.046907390438570534,extensive,extensive
79020_01,79020,716.770751953125,0.7537351250648499,-0.6688913106918335,0.5748547315597534,0.6695165038108826,0.6077336668968201,0.24438492953777313,-0.5076111555099487,extensive,32.91111111,15.93333333,4.353333333,4,0.21224773825393026,0.27625745301096905,0.40909090909090906,0.07221713348746772,extensive,extensive
79020_02,79020,716.96673583984375,0.7428288459777832,-0.665911853313446,0.5680555105209351,0.6597289443016052,0.6180788278579712,0.23642052710056305,-0.5097712278366089,extensive,29.78888889,13.96666667,5.42,4.666666666666667,0.17118997917508205,0.23329766096213736,0.5,0.1107843610026014,extensive,extensive
564029_01,564029,720.46026611328125,0.8692681789398193,-0.7576629519462585,0.6805878281593323,0.8108088374137878,0.4342205226421356,0.3950200080871582,-0.5180497765541077,intensive,14.08888889,46.33333333,7.513333333,4.333333333333333,0.8469032705732629,0.017275645986323928,0.4545454545454545,0.18647254496534646,mid,mid
564029_02,564029,720.33148193359375,0.8638321161270142,-0.7509688138961792,0.679572343826294,0.8124838471412659,0.4428007900714874,0.3871073126792908,-0.5136898159980774,intensive,14.64444444,42.33333333,6.9,5.333333333333333,0.7633959636891402,0.0249197370272154,0.5909090909090908,0.1642963891631269,mid,mid
114090_01,114090,723.1090087890625,0.8791724443435669,-0.7885569930076599,0.6820611357688904,0.7915531396865845,0.40193647146224976,0.42872563004493713,-0.5453010201454163,intensive,19.48888889,42.73333333,13.90666667,1.6666666666666667,0.7717466943775524,0.09157621164679478,0.09090909090909091,0.4176348649445156,intensive,intensive
114090_02,114090,722.86993408203125,0.8965504169464111,-0.7997885942459106,0.7097802758216858,0.8334642648696899,0.3734534680843353,0.45694810152053833,-0.541896641254425,intensive,15.4,53.66666667,20.33333333,3,1,0.0353157010079402,0.2727272727272727,0.6500024104095361,intensive,intensive
114091_01,114091,723.15887451171875,0.9024360775947572,-0.807999312877655,0.7178279757499695,0.8435041904449463,0.3688734173774719,0.4619302749633789,-0.5537839531898499,intensive,12.83333333,47,16.95333333,3,0.8608211551235394,0,0.2727272727272727,0.5277925082591467,intensive,intensive
114091_02,114091,722.9188842773436,0.8932862877845764,-0.7997548580169678,0.7031899690628052,0.8264696002006531,0.3980143070220947,0.43414542078971863,-0.5637662410736084,intensive,16.66666667,46.86666667,15.36,2,0.8580375782969915,0.052744228801322623,0.13636363636363635,0.4701827122969414,intensive,intensive
583045_01,583045,722.2523193359375,0.8874362707138062,-0.790061354637146,0.6785657405853271,0.7842207551002502,0.39745470881462097,0.4313707649707794,-0.5442807674407959,intensive,22.71666667,35.55,16.685,1.5,0.6217814891677381,0.13598838106907235,0.06818181818181818,0.5180904402109254,intensive,intensive
583045_02,583045,722.0843505859375,0.889252781867981,-0.7882442474365234,0.6839240193367004,0.7935140132904053,0.39810171723365784,0.4306205213069916,-0.5415031313896179,intensive,22.075,42.4,14.5,2.5,0.7647877522067983,0.1271594557826889,0.20454545454545453,0.43908788512258207,intensive,intensive
100028_01,100028,717.70611572265625,0.7701032757759094,-0.6952477693557739,0.6132286190986633,0.7121681571006775,0.5565056204795837,0.2859904170036316,-0.5110731720924377,extensive,39.28888889,10.3,12.23333333,6.666666666666667,0.0946416144617135,0.3640116190685213,0.7727272727272727,0.3571325265580115,extensive,extensive
100028_02,100028,717.65557861328125,0.7766581177711487,-0.6996517777442932,0.6182761788368225,0.7207435369491577,0.5432234406471252,0.2965182662010193,-0.5087027549743652,extensive,37.47777778,11.43333333,14.12666667,5.666666666666667,0.11830201800929216,0.3390918820413058,0.6363636363636364,0.42558935561702615,extensive,extensive
16086_01,16086,719.0799560546875,0.8280119299888611,-0.7170133590698242,0.6838714480400085,0.8213516473770142,0.49653682112693787,0.33674994111061096,-0.5012443661689758,mid,17.87777778,23.8,8.313333333,2.3333333333333335,0.3764787751956277,0.06940834742181902,0.18181818181818182,0.2153979655926575,mid,intensive
16082_01,16082,719.87054443359375,0.8648117780685425,-0.7449779510498047,0.7121211290359497,0.85847008228302,0.4655384719371796,0.3649920523166657,-0.5222128629684448,intensive,17.7,25.35,4.78,2.25,0.4088378566132253,0.06696223823369629,0.17045454545454544,0.08764402450075257,mid,intensive
16082_02,16082,718.19610595703125,0.8292572498321533,-0.7098317742347717,0.6726159453392029,0.7996698617935181,0.4896452724933624,0.3431299030780792,-0.4844396412372589,mid,16.96666667,23.93333333,7.446666667,3,0.3792623520221757,0.056872038004682074,0.2727272727272727,0.18406209327050838,mid,intensive
16082_03,16082,717.61236572265625,0.8136927485466003,-0.6968157291412354,0.6467862725257874,0.7605248689651489,0.5198275446891785,0.31643742322921753,-0.487727016210556,mid,22.98888889,23.66666667,5.133333333,3,0.3736951983690797,0.13973398568598885,0.2727272727272727,0.10041941859909603,mid,intensive
128006_01,128006,723.655517578125,0.8124729990959167,-0.7443588972091675,0.6559287309646606,0.7838917970657349,0.33949607610702515,0.4949339926242829,-0.3989796042442322,intensive,19.1,39.8,21.66666667,3.3333333333333335,0.7105080027321184,0.08622534784937395,0.3181818181818182,0.6982114450294331,intensive,intensive
128006_02,128006,723.86651611328125,0.8210994005203247,-0.7389245629310608,0.6704230904579163,0.8235280513763428,0.3309868574142456,0.5038357973098755,-0.3768031597137451,intensive,17.4,46.33333333,20.44,4,0.8469032705732629,0.06283442903033679,0.40909090909090906,0.6538591332803668,intensive,mid
129021_01,129021,717.78839111328125,0.755703330039978,-0.6848800182342529,0.5464569330215454,0.6174106001853943,0.5783189535140991,0.2681308388710022,-0.5105977058410645,extensive,30.07777778,14.73333333,7.693333333,7.333333333333333,0.18719554618869344,0.23727258835843842,0.8636363636363635,0.19298076460649144,extensive,extensive
129021_02,129021,716.99200439453125,0.6904057264328003,-0.6367552876472473,0.4998482167720794,0.5548052191734314,0.6542186141014099,0.20964151620864868,-0.4930291771888733,extensive,43.34444444,14.13333333,7.54,7.666666666666667,0.174669450156075,0.41981348414860675,0.9090909090909091,0.18743672566497574,extensive,extensive
69045_01,69045,717.26605224609375,0.7607190608978271,-0.6894477009773254,0.5467281937599182,0.6114611029624939,0.5994407534599304,0.25187987089157104,-0.5296892523765564,extensive,37.61111111,11.13333333,10.87333333,8.333333333333334,0.11203896999298295,0.3409264638636011,1,0.3079593114915826,extensive,extensive
69004_01,69004,716.22015380859375,0.6358746886253357,-0.6297431588172913,0.41572561860084534,0.43947911262512207,0.7779632806777954,0.12641705572605133,-0.547127366065979,extensive,72.85555556,6.433333333,10.78666667,5.666666666666667,0.013917884466769241,0.825867604423609,0.6363636363636364,0.30482572449800244,extensive,extensive
69004_02,69004,714.930419921875,0.6152173280715942,-0.6087635159492493,0.35266685485839844,0.3618587255477905,0.7713878750801086,0.13335371017456055,-0.5167577266693115,extensive,85.51111111,6.7,13.04,6,0.019485038266003032,1,0.6818181818181818,0.38629899247773936,extensive,extensive
149006_01,149006,723.8255615234375,0.8993918299674988,-0.8054516315460205,0.7143470644950867,0.8496726155281067,0.36157071590423584,0.469054251909256,-0.540859580039978,intensive,32.83333333,19.6,30.01333333,3.3333333333333335,0.28879610296729885,0.27518728022396616,0.3181818181818182,1,intensive,mid
149006_02,149006,723.1505126953125,0.8771092891693115,-0.7875571846961975,0.6862887740135193,0.8095096945762634,0.4014345407485962,0.42734378576278687,-0.543140172958374,intensive,32.5,18,22.92666667,4,0.25539318021364976,0.2706008255994312,0.40909090909090906,0.7437689825174479,intensive,extensive
66024_01,66024,718.16650390625,0.7264439463615417,-0.6735462546348572,0.47772645950317383,0.5193634033203125,0.5896077752113342,0.26087409257888794,-0.5026319622993469,extensive,70.93333333,8.533333333,20.2,7.333333333333333,0.05775922058093366,0.7994190490506216,0.8636363636363635,0.6451815070921735,extensive,extensive
66014_01,66014,716.675537109375,0.7569607496261597,-0.6646685004234314,0.4279130697250366,0.45256850123405457,0.5931650400161743,0.2589282691478729,-0.4895394444465637,extensive,68.12222222,9.6,11.14666667,7,0.08002783575699199,0.7607399480122079,0.8181818181818181,0.3178421637802924,extensive,extensive
66014_02,66014,717.35406494140625,0.7726920247077942,-0.6754611134529114,0.4571326673030853,0.4872604012489319,0.5991637706756592,0.25292953848838806,-0.5092129707336426,extensive,55.21111111,6.666666667,12.81333333,7,0.01878914404892762,0.5830912704606912,0.8181818181818181,0.378103456512812,extensive,extensive
24068_01,24068,717.2574462890625,0.7541080713272095,-0.6918352246284485,0.542392373085022,0.5979525446891785,0.5896603465080261,0.2584240138530731,-0.5279541015625,extensive,72.54444444,5.866666667,21.14,8,0.0020876826721030607,0.8215869132755975,0.9545454545454545,0.6791688763292639,extensive,extensive
24068_02,24068,717.21600341796875,0.7488813400268555,-0.6872203350067139,0.5283374786376953,0.5786538124084473,0.6036146879196167,0.2479550987482071,-0.5295427441596985,extensive,53.44444444,5.766666667,19.7,7.666666666666667,0,0.5587830606617097,0.9090909090909091,0.6271031192001041,extensive,extensive
114049_01,114049,722.8724365234375,0.8760021328926086,-0.7831488251686096,0.7090432643890381,0.8394730091094971,0.4287860095500946,0.401603490114212,-0.561120331287384,mid,26.43333333,35.93333333,11.91333333,3.6666666666666665,0.629784272674544,0.18712735055229698,0.3636363636363636,0.34556235830708704,mid,intensive
114049_02,114049,722.48211669921875,0.8749916553497314,-0.782189667224884,0.6920543313026428,0.813977062702179,0.447434663772583,0.38257163763046265,-0.5719084739685059,mid,23.82222222,32.4,11.4,2.6666666666666665,0.5560194849964916,0.15120012231612293,0.22727272727272724,0.3270018801917517,mid,intensive
5042_01,5042,712.86676025390625,0.6217935681343079,-0.578171968460083,0.4441488683223725,0.4955485165119171,0.8550195693969727,0.07977920770645142,-0.522372305393219,extensive,38.07333333,12.52,2.356,3.2,0.14098816978240158,0.3472863476426452,0.3,0,extensive,mid
564005_01,564005,718.96893310546875,0.8128059506416321,-0.7196691632270813,0.6308233141899109,0.7311795949935913,0.5504280924797058,0.29161664843559265,-0.5427337884902954,mid,20.5,32.13333333,9.586666667,2.3333333333333335,0.5504523311346272,0.10548845746505156,0.18181818181818182,0.2614375934485655,mid,intensive
564005_02,564005,718.26202392578125,0.775196373462677,-0.6965327858924866,0.5963631272315979,0.6852080225944519,0.6188192367553711,0.23705267906188965,-0.5511833429336548,mid,19.65555556,39.46666667,5.553333333,3.6666666666666665,0.7035490605613645,0.09386943902785905,0.3636363636363636,0.11560526442843434,mid,intensive
564022_01,564022,719.010498046875,0.7494791746139526,-0.6881639361381531,0.5523669123649597,0.6222518086433411,0.6380138397216797,0.22170250117778775,-0.550297737121582,mid,20.44444444,32.66666667,7.52,4.333333333333333,0.5615866388583558,0.10472404829216563,0.4545454545454545,0.18671359014929295,mid,mid
564022_02,564022,720.12628173828125,0.7847540974617004,-0.7139091491699219,0.5930938124656677,0.674493670463562,0.5817027688026428,0.264752060174942,-0.5537107586860657,mid,17.06666667,35.73333333,8.166666667,5,0.6256089073303377,0.05824797440580192,0.5454545454545454,0.21009497183508832,mid,mid
564022_03,564022,721.2666625976564,0.8355537056922913,-0.7555756568908691,0.6250800490379333,0.7113097310066223,0.5263740420341492,0.3107169568538666,-0.5813117027282715,mid,20.63333333,39.86666667,11.86,3,0.7118997912497766,0.10732303928734678,0.2727272727272727,0.3436339970524555,mid,intensive
564022_04,564022,721.45660400390625,0.838379979133606,-0.7584254145622253,0.6299107074737549,0.7191570997238159,0.5153692364692688,0.32033616304397583,-0.5788682103157043,mid,15.5,35.06666667,11.38,3,0.6116910229888294,0.03669163740906003,0.2727272727272727,0.32627874467606893,mid,intensive
568033_01,568033,718.51995849609375,0.8473442196846008,-0.719357967376709,0.6842286586761475,0.8252654671669006,0.4785075783729553,0.3543137013912201,-0.4896244704723358,extensive,25.58888889,35.6,6.013333333,6,0.6228253305037897,0.17550833211510447,0.6818181818181818,0.1322373812891382,mid,mid
568033_02,568033,717.957275390625,0.813524603843689,-0.6982572674751282,0.62851482629776,0.7413532137870789,0.5500053763389587,0.29526424407958984,-0.5074687600135803,extensive,27.38888889,26.4,7.453333333,5,0.43075852467030745,0.20027518733526142,0.5454545454545454,0.18430313841829812,extensive,mid
575002_02,575002,723.08551025390625,0.9137658476829528,-0.8064165711402893,0.7700678706169128,0.9475188851356506,0.28716355562210083,0.5542474985122681,-0.4545406997203827,mid,24.03333333,35.86666667,19.88,6,0.628392484365654,0.15410487692542105,0.6818181818181818,0.6336113388412491,intensive,mid
575002_03,575002,722.0908203125,0.9065107107162476,-0.7929608821868896,0.7573153376579285,0.9275755882263184,0.2969644069671631,0.5423813462257385,-0.4396258890628814,mid,23.65555556,26.06666667,19.8,7.333333333333333,0.42379958249955335,0.14890689507265228,0.8636363636363635,0.630718796778518,extensive,mid
575002_01,575002,724.88812255859375,0.9177752733230592,-0.8253072500228882,0.757199227809906,0.9171023368835448,0.350216269493103,0.4813790023326874,-0.5706813335418701,intensive,20.87333333,44.12,18.924,3.6,0.800695894166971,0.1106252866500344,0.35454545454545455,0.5990454611916122,intensive,intensive
133035_01,133035,724.50634765625,0.9244393110275269,-0.8286417722702026,0.7557217478752136,0.9127127528190612,0.3424231708049774,0.49004969000816345,-0.5703010559082031,intensive,20.17777778,40.93333333,13.24666667,4.333333333333333,0.7341684062796973,0.10105488464757513,0.4545454545454545,0.393771392926984,mid,mid
133035_02,133035,723.6640625,0.9127615094184875,-0.813159167766571,0.7448335289955139,0.9017232656478882,0.37219512462615967,0.4580377340316773,-0.5665392279624939,intensive,24.33333333,51,13.16666667,3.6666666666666665,0.9443284620076622,0.1582326861287805,0.3636363636363636,0.39087885086425284,intensive,intensive
70021_01,70021,717.8980712890625,0.6984191536903381,-0.6413719654083252,0.47962117195129395,0.5490469336509705,0.6946560740470886,0.18093328177928925,-0.5209947824478149,extensive,50.73333333,11.23333333,18.34,3.3333333333333335,0.11412665266508604,0.5214798960244158,0.3181818181818182,0.5779299041336752,extensive,mid
70021_02,70021,717.70111083984375,0.6531687378883362,-0.6140428781509399,0.4566874206066131,0.5099418759346008,0.714479923248291,0.16843941807746887,-0.4974143207073212,extensive,53.6,11.1,16.75333333,3.3333333333333335,0.11134307583853802,0.5609234062357156,0.3181818181818182,0.520561153102319,extensive,mid
70042_01,70042,716.98065185546875,0.714199960231781,-0.6607115268707275,0.5079237818717957,0.5666256546974182,0.6637690663337708,0.20346906781196591,-0.5285059809684753,extensive,61.25555556,9.466666667,11.16,3.6666666666666665,0.07724425886781353,0.6662589818937086,0.3636363636363636,0.31832425400355835,extensive,mid
