dominant_class,n_fields,mean_s1_temporal_sd,sd_s1_temporal_sd,median_s1_temporal_sd,iqr_s1_temporal_sd,min_s1_temporal_sd,max_s1_temporal_sd
extensive,568,0.14979812875390053,0.03682504233203635,0.13838206976652145,0.025171179324388504,0.10592461377382278,0.3454737067222595
mid,1318,0.16098919346905988,0.03511524248619208,0.15443892031908035,0.03329545632004738,0.10359357297420502,0.37479671835899353
intensive,1151,0.17796970554971367,0.027933458702301385,0.17584030330181122,0.034718528389930725,0.11408787965774536,0.3728428781032562
